# Source: https://github.com/fvrmatteo/oracle-synthesis-meets-equality-saturation
# License: not specified
# expression	ground_truth
~(x+y+(~(x+y+x+y))+-z)	(x+y+z)
v5	-
(((((((((((z | ((((~(y & 0xb453d2806372844e)) * 0x30000000519) + ((((~y) | 0x4bac2d7f9c8d7bb1) + (y & 0xb453d2806372844e)) * 0xfffffdfffffffc9a)) + (((y + ((y & 0xb453d2806372844e) | 0x1)) + (y ^ 0x4bac2d7f9c8d7bb1)) * 0x100000001b3))) - (z & (~((((~(y & 0xb453d2806372844e)) * 0x30000000519) + ((((~y) | 0x4bac2d7f9c8d7bb1) + (y & 0xb453d2806372844e)) * 0xfffffdfffffffc9a)) + (((y + ((y & 0xb453d2806372844e) | 0x1)) + (y ^ 0x4bac2d7f9c8d7bb1)) * 0x100000001b3))))) * 0x555554ffffffff6f) + ((((((((~(y & 0xb453d2806372844e)) * 0x30000000519) + ((((~y) | 0x4bac2d7f9c8d7bb1) + (y & 0xb453d2806372844e)) * 0xfffffdfffffffc9a)) + (((y + ((y & 0xb453d2806372844e) | 0x1)) + (y ^ 0x4bac2d7f9c8d7bb1)) * 0x100000001b3)) & (~z)) + ((((~(y & 0xb453d2806372844e)) * 0x30000000519) + ((((~y) | 0x4bac2d7f9c8d7bb1) + (y & 0xb453d2806372844e)) * 0xfffffdfffffffc9a)) + (((y + ((y & 0xb453d2806372844e) | 0x1)) + (y ^ 0x4bac2d7f9c8d7bb1)) * 0x100000001b3))) + (z & ((((~(y & 0xb453d2806372844e)) * 0x30000000519) + ((((~y) | 0x4bac2d7f9c8d7bb1) + (y & 0xb453d2806372844e)) * 0xfffffdfffffffc9a)) + (((y + ((y & 0xb453d2806372844e) | 0x1)) + (y ^ 0x4bac2d7f9c8d7bb1)) * 0x100000001b3)))) * 0x5555560000000122)) ^ 0x93) & (~x)) + (((~x) & 0xffffffffffffff6c) & ((((z | ((((~(y & 0xb453d2806372844e)) * 0x30000000519) + ((((~y) | 0x4bac2d7f9c8d7bb1) + (y & 0xb453d2806372844e)) * 0xfffffdfffffffc9a)) + (((y + ((y & 0xb453d2806372844e) | 0x1)) + (y ^ 0x4bac2d7f9c8d7bb1)) * 0x100000001b3))) - (z & (~((((~(y & 0xb453d2806372844e)) * 0x30000000519) + ((((~y) | 0x4bac2d7f9c8d7bb1) + (y & 0xb453d2806372844e)) * 0xfffffdfffffffc9a)) + (((y + ((y & 0xb453d2806372844e) | 0x1)) + (y ^ 0x4bac2d7f9c8d7bb1)) * 0x100000001b3))))) * 0x555554ffffffff6f) + ((((((((~(y & 0xb453d2806372844e)) * 0x30000000519) + ((((~y) | 0x4bac2d7f9c8d7bb1) + (y & 0xb453d2806372844e)) * 0xfffffdfffffffc9a)) + (((y + ((y & 0xb453d2806372844e) | 0x1)) + (y ^ 0x4bac2d7f9c8d7bb1)) * 0x100000001b3)) & (~z)) + ((((~(y & 0xb453d2806372844e)) * 0x30000000519) + ((((~y) | 0x4bac2d7f9c8d7bb1) + (y & 0xb453d2806372844e)) * 0xfffffdfffffffc9a)) + (((y + ((y & 0xb453d2806372844e) | 0x1)) + (y ^ 0x4bac2d7f9c8d7bb1)) * 0x100000001b3))) + (z & ((((~(y & 0xb453d2806372844e)) * 0x30000000519) + ((((~y) | 0x4bac2d7f9c8d7bb1) + (y & 0xb453d2806372844e)) * 0xfffffdfffffffc9a)) + (((y + ((y & 0xb453d2806372844e) | 0x1)) + (y ^ 0x4bac2d7f9c8d7bb1)) * 0x100000001b3)))) * 0x5555560000000122)))) - ((((((z | ((((~(y & 0xb453d2806372844e)) * 0x30000000519) + ((((~y) | 0x4bac2d7f9c8d7bb1) + (y & 0xb453d2806372844e)) * 0xfffffdfffffffc9a)) + (((y + ((y & 0xb453d2806372844e) | 0x1)) + (y ^ 0x4bac2d7f9c8d7bb1)) * 0x100000001b3))) - (z & (~((((~(y & 0xb453d2806372844e)) * 0x30000000519) + ((((~y) | 0x4bac2d7f9c8d7bb1) + (y & 0xb453d2806372844e)) * 0xfffffdfffffffc9a)) + (((y + ((y & 0xb453d2806372844e) | 0x1)) + (y ^ 0x4bac2d7f9c8d7bb1)) * 0x100000001b3))))) * 0x555554ffffffff6f) + ((((((((~(y & 0xb453d2806372844e)) * 0x30000000519) + ((((~y) | 0x4bac2d7f9c8d7bb1) + (y & 0xb453d2806372844e)) * 0xfffffdfffffffc9a)) + (((y + ((y & 0xb453d2806372844e) | 0x1)) + (y ^ 0x4bac2d7f9c8d7bb1)) * 0x100000001b3)) & (~z)) + ((((~(y & 0xb453d2806372844e)) * 0x30000000519) + ((((~y) | 0x4bac2d7f9c8d7bb1) + (y & 0xb453d2806372844e)) * 0xfffffdfffffffc9a)) + (((y + ((y & 0xb453d2806372844e) | 0x1)) + (y ^ 0x4bac2d7f9c8d7bb1)) * 0x100000001b3))) + (z & ((((~(y & 0xb453d2806372844e)) * 0x30000000519) + ((((~y) | 0x4bac2d7f9c8d7bb1) + (y & 0xb453d2806372844e)) * 0xfffffdfffffffc9a)) + (((y + ((y & 0xb453d2806372844e) | 0x1)) + (y ^ 0x4bac2d7f9c8d7bb1)) * 0x100000001b3)))) * 0x5555560000000122)) | 0xffffffffffffff6c) & (~x))) + (((((((z | ((((~(y & 0xb453d2806372844e)) * 0x30000000519) + ((((~y) | 0x4bac2d7f9c8d7bb1) + (y & 0xb453d2806372844e)) * 0xfffffdfffffffc9a)) + (((y + ((y & 0xb453d2806372844e) | 0x1)) + (y ^ 0x4bac2d7f9c8d7bb1)) * 0x100000001b3))) - (z & (~((((~(y & 0xb453d2806372844e)) * 0x30000000519) + ((((~y) | 0x4bac2d7f9c8d7bb1) + (y & 0xb453d2806372844e)) * 0xfffffdfffffffc9a)) + (((y + ((y & 0xb453d2806372844e) | 0x1)) + (y ^ 0x4bac2d7f9c8d7bb1)) * 0x100000001b3))))) * 0x555554ffffffff6f) + ((((((((~(y & 0xb453d2806372844e)) * 0x30000000519) + ((((~y) | 0x4bac2d7f9c8d7bb1) + (y & 0xb453d2806372844e)) * 0xfffffdfffffffc9a)) + (((y + ((y & 0xb453d2806372844e) | 0x1)) + (y ^ 0x4bac2d7f9c8d7bb1)) * 0x100000001b3)) & (~z)) + ((((~(y & 0xb453d2806372844e)) * 0x30000000519) + ((((~y) | 0x4bac2d7f9c8d7bb1) + (y & 0xb453d2806372844e)) * 0xfffffdfffffffc9a)) + (((y + ((y & 0xb453d2806372844e) | 0x1)) + (y ^ 0x4bac2d7f9c8d7bb1)) * 0x100000001b3))) + (z & ((((~(y & 0xb453d2806372844e)) * 0x30000000519) + ((((~y) | 0x4bac2d7f9c8d7bb1) + (y & 0xb453d2806372844e)) * 0xfffffdfffffffc9a)) + (((y + ((y & 0xb453d2806372844e) | 0x1)) + (y ^ 0x4bac2d7f9c8d7bb1)) * 0x100000001b3)))) * 0x5555560000000122)) & x) | ((~((((z | ((((~(y & 0xb453d2806372844e)) * 0x30000000519) + ((((~y) | 0x4bac2d7f9c8d7bb1) + (y & 0xb453d2806372844e)) * 0xfffffdfffffffc9a)) + (((y + ((y & 0xb453d2806372844e) | 0x1)) + (y ^ 0x4bac2d7f9c8d7bb1)) * 0x100000001b3))) - (z & (~((((~(y & 0xb453d2806372844e)) * 0x30000000519) + ((((~y) | 0x4bac2d7f9c8d7bb1) + (y & 0xb453d2806372844e)) * 0xfffffdfffffffc9a)) + (((y + ((y & 0xb453d2806372844e) | 0x1)) + (y ^ 0x4bac2d7f9c8d7bb1)) * 0x100000001b3))))) * 0x555554ffffffff6f) + ((((((((~(y & 0xb453d2806372844e)) * 0x30000000519) + ((((~y) | 0x4bac2d7f9c8d7bb1) + (y & 0xb453d2806372844e)) * 0xfffffdfffffffc9a)) + (((y + ((y & 0xb453d2806372844e) | 0x1)) + (y ^ 0x4bac2d7f9c8d7bb1)) * 0x100000001b3)) & (~z)) + ((((~(y & 0xb453d2806372844e)) * 0x30000000519) + ((((~y) | 0x4bac2d7f9c8d7bb1) + (y & 0xb453d2806372844e)) * 0xfffffdfffffffc9a)) + (((y + ((y & 0xb453d2806372844e) | 0x1)) + (y ^ 0x4bac2d7f9c8d7bb1)) * 0x100000001b3))) + (z & ((((~(y & 0xb453d2806372844e)) * 0x30000000519) + ((((~y) | 0x4bac2d7f9c8d7bb1) + (y & 0xb453d2806372844e)) * 0xfffffdfffffffc9a)) + (((y + ((y & 0xb453d2806372844e) | 0x1)) + (y ^ 0x4bac2d7f9c8d7bb1)) * 0x100000001b3)))) * 0x5555560000000122))) & (~x))) ^ 0x93)) * 0x100000001b3) & 0x1)	-
(((((((~x) & (~z)) & y) ^ (y | (~(x | z)))) - ((y & x) & z)) + ((x | (~y)) & z)) + (((~(y & x)) & (~z)) & (y | x)))	-
((((((((~X[0]) & (~X[2])) & X[1]) ^ (X[1] | (~(X[0] | X[2])))) - ((X[1] & X[0]) & X[2])) + ((X[0] | (~X[1])) & X[2])) + (((~(X[1] & X[0])) & (~X[2])) & (X[1] | X[0]))) * 0x5fce4f8c629a4b7f)	-
(((((((X[0] | X[2]) & (X[1] & 0xffffffff)) | ((~X[0]) & (~(X[2] | (X[1] & 0xffffffff))))) - (((X[2] & (~X[0])) ^ (X[1] & 0xffffffff)) + X[0])) * 0x4156540aa23d16c9) + ((((X[2] & (~X[0])) & (X[1] & 0xffffffff)) - ((X[2] | (X[1] & 0xffffffff)) | X[0])) * 0x7d5357eabb85d26e)) * 0xef0c8c1d6ca84fa9)	-
(((((((((X[0] | X[2]) & (X[1] & 0xffffffff)) | ((~X[0]) & (~(X[2] | (X[1] & 0xffffffff))))) - (((X[2] & (~X[0])) ^ (X[1] & 0xffffffff)) + X[0])) * 0x4156540aa23d16c9) + ((((X[2] & (~X[0])) & (X[1] & 0xffffffff)) - ((X[2] | (X[1] & 0xffffffff)) | X[0])) * 0x7d5357eabb85d26e)) * 0x38) & 0x38) + 0xffffffffffffffff)	-
(((X[0] + 0xffffffffffffffd8) >> 0x3f) ^ ((X[0] + 0xfffffffffffffff8) >> 0x3f))	-
((0x5555555600 * x + 0x5555555555 * (~((x << 8) | x) - ((x << 8) | ~x))) >> 8) | ((y & 5) - 1598265631 + (y ^ 5) - 1598265631 * (y | 0xFFFFFFFA) - 1598265632 * ((y & 5) ^ 5))	-
((((x*0x55555600)+((x<<0x8)*0xaaaaaaab))>>0x8)|y)	-
((y >> 13) & 0x13FD8) + ((y >> 13) | 0xFFFFFFFFFFFEC027) - ((((0xFFFFFFFF&y) >> 13) ^ 0xFFFFFFFFFFFEC027) & ~(y << 51))	-
0x100000001B3 * ((0xFFFFFDFFFFFFFC9A * (x & ~(y & z)) - 0x555552FFFFFFFC09 * (z ^ ~(~y & ~x)) + 0x55555700000002D5 * ((y | x) & z) + 0x555554FFFFFFFF6F * ((z & ~y ^ x) + (y | x & ~z)) + 0x555553FFFFFFFDBC * (((y | ~x) & z) + (~(z & ~y) & ~x)) - 0x100000001B3 * ((z | ~(y & x | ~y & ~x)) ^ (y ^ x) & z) + 0x555553FFFFFFFDBC) ^ (x | 0xFFFFFFFF) & w)	-
(((((((y^x)^z)*0xfffffefffffffe4d)+(((y&z)-x)*0x555553fffffffdbc))+(((((x&(~(y&z)))*0xfffffdfffffffc9a)-((z^(x|y))*0x555552fffffffc09))+(((x|y)&z)*0x55555700000002d5))+((((z&(~y))^x)+(y|(x&(~z))))*0x555554ffffffff6f)))^((x|0xffffffff)&w))*0x100000001b3)	-
(y ^ x ^ z)*18446742974197923405 + ((y & z) - x)*6148913225221012924 + (x & ~(y & z))*18446741874686295194 - (z ^ (x | y))*6148912125709384713 + ((x | y) & z)*6148916523755897557 + (z & ~y ^ x)*6148914324732641135 + (y | x & ~z)*6148914324732641135	-
((x | y) & z) + ((x | z) & ~y) + ~(z & x & y) + (y & ~(x | z)) + ~(x ^ y | z)	-
(x ^ 0x340d631b7bdddcda)*0xfffffefffffffe4d + ((~(y & 0xff)) | 0xcbf29ce484222325)*0xfffffefffffffe4d + (((x ^ ((y & 0xff) | 0x340d631b7bdddcda)) ^ 0x340d631b7bdddcda) * 0xfffffcfffffffae7) + (x | 0xcbf29ce484222325)*0x20000000366 + ((y & 0xff) | 0x340d631b7bdddcda) * 0x20000000366	-
((((x ^ 0x340d631b7bdddcda) + ((~y) | 0xcbf29ce484222325)) * 0xfffffefffffffe4d) + (((x ^ (y | 0x340d631b7bdddcda)) ^ 0x340d631b7bdddcda) * 0xfffffcfffffffae7))	-
((x ^ y) ^ z) + ((x & (~z)) & y) * 0x100000001b3 + (x | (~(z & y))) * 0xaaaaa8fffffffd2b + (((x & (~z)) | (~y)) + (~(x & (z & y)))) * 0x5555560000000122 + ((z | (~(x ^ y))) + (x & (~(y ^ z)))) * 0xaaaaab0000000091	-
1099511628211+0x340d631b7bdddcda+18446741874686295194*(0xff&x)+18446740775174666984*(0xda&x)+3298534884633*(0x340d631b7bdddcda&0xff&x)+18446744073709551614*(0x340d631b7bdddcda&0xda&x)+18446742974197923405*(0xcbf29ce484222325&0xff&x)+6597069769266*(0xff&0xda&x)+18446737476639782350*(0x340d631b7bdddcda&0xff&0xda&x)	-
12297829748976910481*(x+1)+1099511628211*(y+z)+18446741874686295194*(y&z)+6148914324732641135*((y&x)+(z&x))	-
1099511628211+18446741874686295194*E+1099511628211*G+2199023256422*H+6597069769266*(E&F)+2199023256422*(E&G)+18446741874686295194*(E&H)+1099511628211*(F&G)+18446742974197923405*(F&H)+18446737476639782350*(E&F&G)	-
0xFFFFFEFFFFFFFE4D * ~x + 0x55555A00000007EE * y - 0x55555700000002D5 * (y & x) + 0x30000000519 * w + 0x55554BFFFFFFF024 * (z & y) - 0x555551FFFFFFFA56 * (z & y & x) - 0x20000000366 * (w & x)	-
(x & ~(y | z)) - (x | ~(y & z)) + (y & ~z & (x ^ 0xFFFFFFFF)) + ((x | z) & ~y) + (y | z ^ ~x)	-
(0x6DB6DD249249277C * (x ^ y | ~z) - 0x100000001B3 * ((y | ~x) & ~z) + 0x249248B6DB6DB621 * ((x ^ z | ~y) + (x | y ^ ~z)) + 0x4924926DB6DB6DF5 * ((x ^ z ^ y) + (x ^ ~(z & y)) + (x & y | z)))	-
0x3EB1A1F58D0FAC68 * (x ^ 0xEB26818EB44411B0) - 0x43EB1A1F58D0FAC5 * x + 0x5397829CBC14E60 * (x & 0x14D97E714BBBEE4F) - 0x5E0A72F05397829E * (x & 0xEB26818EB44411B0 ^ 0xEB26818EB44411B0) + 0x4924924924924926 * (x & 0xEB26818EB44411B0) - 0xFAC687D6343EB1A * (x | 0xEB26818EB44411B0) + 0x7D6343EB1A1F58D2 * (x & 0x14D97E714BBBEE4F ^ 0x14D97E714BBBEE4F) + 0x5803819EFA514BE1	-
0x30000000519 * (~v15 & 0x10) + 0x100000001B3 * ((v15 | 0xFFFFFFFFFFFFFFEF) - (~v15 | 0x10) + (v15 & 0x11 ^ 0xFFFFFFFFFFFFFFEF)) + 0x100000001B3	-
(x&0xffffffffffffffef)-(x|0xffffffffffffffef)+1+1	-
(((z - 0x57E89A36806D13FC) ^ y) & ~x) + ((z - 0x57E89A36806D13FC) & ~x & ~y) - (((z - 0x57E89A36806D13FC) | ~y) & ~x) + ((((z - 0x57E89A36806D13FC) & x) | ((0x57E89A36806D13FB - z) & ~x)) ^ y)	-
0x30000000519 * (~x & 0x10) + 0x100000001B3 * (x - 0x10 + ((x & 0x11) ^ ~0x10)) + 0x100000001B3	-
(x - 0x10 + ((x & 0x11) ^ ~0x10))	-
(((y ^ z) & ~x) + (y & ~x & ~z) - ((y | ~z) & ~x) + ((y & x | w & ~x) ^ z))	-
0x30000000519 * (~v15 & 0x10) + 0x100000001B3 * ((v15 | 0xFFFFFFFFFFFFFFEF) - (~v15 | 0x10) + (v15 & 0x11 ^ 0xFFFFFFFFFFFFFFEF)) + 0x100000001B3	-
(((0x400000006cd*(~(0x10&(x*0xc3040a0001000218))))+(((((((((((x&0x230d00d704692dc3)*0xaaaaac0000000244)-0x57e89a36806d13fc)^0x93)&(~y))+(((((x&0x230d00d704692dc3)*0xaaaaac0000000244)-0x57e89a36806d13fc)&(~y))&0xffffffffffffff6c))-(((((x&0x230d00d704692dc3)*0xaaaaac0000000244)-0x57e89a36806d13fc)|0xffffffffffffff6c)&(~y)))+((((((x&0x230d00d704692dc3)*0xaaaaac0000000244)-0x57e89a36806d13fc)&y)|((0x57e89a36806d13fb-((x&0x230d00d704692dc3)*0xaaaaac0000000244))&(~y)))^0x93))*0x100000001b3)&0xffffffffffffffef)*0x100000001b3))+0x3000000051a)	-
y*(x^y)-(x&y)*(x&y)-1	-
(x&y)*(x|y)+(x&~y)*(~x&y)	-
18446744073709551609*(x&y)+18446744073709551603*(x&z)+7*(t&x&y)+13*(t&x&z)+20*(x&y&z)+18446744073709551596*(t&x&y&z)	-
102-x+2*(34|-5&x)-2*(20&~(-39^x))+2*(17|-51^x)	-
-64+(-95+(-112+(56+128*y*(z^(x|y))+128*z*~(x&~y))*(7*z^2*(x&z)+(-3*y+3*z)*(x|y)))*(7*z^2*(x&z)+(-3*y+3*z)*(x|y)))*(7*z^2*(x&z)+(-3*y+3*z)*(x|y))+24*(6+(-13-8*~(7*z^2*(x&z)+(-3*y+3*z)*(x|y))*(7*z^2*(x&z)+(-3*y+3*z)*(x|y)))*(7*z^2*(x&z)+(-3*y+3*z)*(x|y)))**3	-
((~ (((d - (- (((d | a) + (d | a)) - (d ^ a)) - 1)) - ((d | ~ (- (((d | a) + (d | a)) - (d ^ a)) - 1)) << 1)) - 2) | (((((((a & ~ d) - (~ a & d)) + (((a ^ ~ ((~ a | d) - ~ a)) + ((a | ((~ a | d) - ~ a)) + (a | ((~ a | d) - ~ a)))) + 1)) + 1) + ((- ((a & ~ d) - (~ a & d)) - 1) | (- (((a ^ ~ ((~ a | d) - ~ a)) + ((a | ((~ a | d) - ~ a)) + (a | ((~ a | d) - ~ a)))) + 1) - 1))) | (- d - 1)) - ((((((a & ~ d) - (~ a & d)) + (((a ^ ~ ((~ a | d) - ~ a)) + ((a | ((~ a | d) - ~ a)) + (a | ((~ a | d) - ~ a)))) + 1)) + 1) + ((- ((a & ~ d) - (~ a & d)) - 1) | (- (((a ^ ~ ((~ a | d) - ~ a)) + ((a | ((~ a | d) - ~ a)) + (a | ((~ a | d) - ~ a)))) + 1) - 1))) & (- d - 1)))) + (((d - (- (((d | a) + (d | a)) - (d ^ a)) - 1)) - ((d | ~ (- (((d | a) + (d | a)) - (d ^ a)) - 1)) << 1)) - 2)) + 1	-
((~ (((((((a & c) * (a | c) + (a & ~ c) * (~ a & c)) & ~ a) + a) + ((a ^ ~ (((~ b | a) - ~ b) - 1)) - ((~ a & ~ (((~ b | a) - ~ b) - 1)) + (~ a & ~ (((~ b | a) - ~ b) - 1))))) + 1) + ((- ((((a & c) * (a | c) + (a & ~ c) * (~ a & c)) & ~ a) + a) - 1) | (- ((a ^ ~ (((~ b | a) - ~ b) - 1)) - ((~ a & ~ (((~ b | a) - ~ b) - 1)) + (~ a & ~ (((~ b | a) - ~ b) - 1)))) - 1))) + 1) | ((~ (b - 1) & ~ b) - (~ (~ (b - 1)) & b))) - ((~ (((((((a & c) * (a | c) + (a & ~ c) * (~ a & c)) & ~ a) + a) + ((a ^ ~ (((~ b | a) - ~ b) - 1)) - ((~ a & ~ (((~ b | a) - ~ b) - 1)) + (~ a & ~ (((~ b | a) - ~ b) - 1))))) + 1) + ((- ((((a & c) * (a | c) + (a & ~ c) * (~ a & c)) & ~ a) + a) - 1) | (- ((a ^ ~ (((~ b | a) - ~ b) - 1)) - ((~ a & ~ (((~ b | a) - ~ b) - 1)) + (~ a & ~ (((~ b | a) - ~ b) - 1)))) - 1))) + 1) & ((~ (b - 1) & ~ b) - (~ (~ (b - 1)) & b)))	-
~ (((((((((a & (~ b + 1)) * (a | (~ b + 1)) + (a & ~ (~ b + 1)) * (~ a & (~ b + 1))) | a) - (((a & (~ b + 1)) * (a | (~ b + 1)) + (a & ~ (~ b + 1)) * (~ a & (~ b + 1))) & a)) & (((b ^ b) - ((~ b & b) << 1)) + 1)) * (((((a & (~ b + 1)) * (a | (~ b + 1)) + (a & ~ (~ b + 1)) * (~ a & (~ b + 1))) | a) - (((a & (~ b + 1)) * (a | (~ b + 1)) + (a & ~ (~ b + 1)) * (~ a & (~ b + 1))) & a)) | (((b ^ b) - ((~ b & b) << 1)) + 1)) + (((((a & (~ b + 1)) * (a | (~ b + 1)) + (a & ~ (~ b + 1)) * (~ a & (~ b + 1))) | a) - (((a & (~ b + 1)) * (a | (~ b + 1)) + (a & ~ (~ b + 1)) * (~ a & (~ b + 1))) & a)) & ~ (((b ^ b) - ((~ b & b) << 1)) + 1)) * (~ ((((a & (~ b + 1)) * (a | (~ b + 1)) + (a & ~ (~ b + 1)) * (~ a & (~ b + 1))) | a) - (((a & (~ b + 1)) * (a | (~ b + 1)) + (a & ~ (~ b + 1)) * (~ a & (~ b + 1))) & a)) & (((b ^ b) - ((~ b & b) << 1)) + 1))) ^ (((d ^ ~ a) + ((d | a) + (d | a))) + 1)) + ((((((((a & (~ b + 1)) * (a | (~ b + 1)) + (a & ~ (~ b + 1)) * (~ a & (~ b + 1))) | a) - (((a & (~ b + 1)) * (a | (~ b + 1)) + (a & ~ (~ b + 1)) * (~ a & (~ b + 1))) & a)) & (((b ^ b) - ((~ b & b) << 1)) + 1)) * (((((a & (~ b + 1)) * (a | (~ b + 1)) + (a & ~ (~ b + 1)) * (~ a & (~ b + 1))) | a) - (((a & (~ b + 1)) * (a | (~ b + 1)) + (a & ~ (~ b + 1)) * (~ a & (~ b + 1))) & a)) | (((b ^ b) - ((~ b & b) << 1)) + 1)) + (((((a & (~ b + 1)) * (a | (~ b + 1)) + (a & ~ (~ b + 1)) * (~ a & (~ b + 1))) | a) - (((a & (~ b + 1)) * (a | (~ b + 1)) + (a & ~ (~ b + 1)) * (~ a & (~ b + 1))) & a)) & ~ (((b ^ b) - ((~ b & b) << 1)) + 1)) * (~ ((((a & (~ b + 1)) * (a | (~ b + 1)) + (a & ~ (~ b + 1)) * (~ a & (~ b + 1))) | a) - (((a & (~ b + 1)) * (a | (~ b + 1)) + (a & ~ (~ b + 1)) * (~ a & (~ b + 1))) & a)) & (((b ^ b) - ((~ b & b) << 1)) + 1))) & (((d ^ ~ a) + ((d | a) + (d | a))) + 1)) << 1)) - 1)	-
((((e - ((b | ((e & ~ (((e | e) << 1) - (e ^ e))) - (~ e & (((e | e) << 1) - (e ^ e))))) - (b & ((e & ~ (((e | e) << 1) - (e ^ e))) - (~ e & (((e | e) << 1) - (e ^ e))))))) - ((e | ~ ((b | ((e & ~ (((e | e) << 1) - (e ^ e))) - (~ e & (((e | e) << 1) - (e ^ e))))) - (b & ((e & ~ (((e | e) << 1) - (e ^ e))) - (~ e & (((e | e) << 1) - (e ^ e))))))) + (e | ~ ((b | ((e & ~ (((e | e) << 1) - (e ^ e))) - (~ e & (((e | e) << 1) - (e ^ e))))) - (b & ((e & ~ (((e | e) << 1) - (e ^ e))) - (~ e & (((e | e) << 1) - (e ^ e))))))))) - 2) & ~ ((e ^ b) - ((~ e & b) + (~ e & b)))) + ((e ^ b) - ((~ e & b) + (~ e & b)))	-
(((((((b - b) - ((b | ~ b) + (b | ~ b))) - 2) + (((e ^ ~ b) + ((e | b) << 1)) + 1)) + 1) + ((- (((b - b) - ((b | ~ b) + (b | ~ b))) - 2) - 1) | (- (((e ^ ~ b) + ((e | b) << 1)) + 1) - 1))) | (~ (((((((((e + e) + 1) + ((- e - 1) | (- e - 1))) + ((e & e) * (e | e) + (e & ~ e) * (~ e & e))) + 1) + ((- (((e + e) + 1) + ((- e - 1) | (- e - 1))) - 1) | (- ((e & e) * (e | e) + (e & ~ e) * (~ e & e)) - 1))) - (~ e + 1)) - ((((((((e + e) + 1) + ((- e - 1) | (- e - 1))) + ((e & e) * (e | e) + (e & ~ e) * (~ e & e))) + 1) + ((- (((e + e) + 1) + ((- e - 1) | (- e - 1))) - 1) | (- ((e & e) * (e | e) + (e & ~ e) * (~ e & e)) - 1))) | ~ (~ e + 1)) + (((((((e + e) + 1) + ((- e - 1) | (- e - 1))) + ((e & e) * (e | e) + (e & ~ e) * (~ e & e))) + 1) + ((- (((e + e) + 1) + ((- e - 1) | (- e - 1))) - 1) | (- ((e & e) * (e | e) + (e & ~ e) * (~ e & e)) - 1))) | ~ (~ e + 1)))) - 2) + 1)) - (((((((b - b) - ((b | ~ b) + (b | ~ b))) - 2) + (((e ^ ~ b) + ((e | b) << 1)) + 1)) + 1) + ((- (((b - b) - ((b | ~ b) + (b | ~ b))) - 2) - 1) | (- (((e ^ ~ b) + ((e | b) << 1)) + 1) - 1))) & (~ (((((((((e + e) + 1) + ((- e - 1) | (- e - 1))) + ((e & e) * (e | e) + (e & ~ e) * (~ e & e))) + 1) + ((- (((e + e) + 1) + ((- e - 1) | (- e - 1))) - 1) | (- ((e & e) * (e | e) + (e & ~ e) * (~ e & e)) - 1))) - (~ e + 1)) - ((((((((e + e) + 1) + ((- e - 1) | (- e - 1))) + ((e & e) * (e | e) + (e & ~ e) * (~ e & e))) + 1) + ((- (((e + e) + 1) + ((- e - 1) | (- e - 1))) - 1) | (- ((e & e) * (e | e) + (e & ~ e) * (~ e & e)) - 1))) | ~ (~ e + 1)) + (((((((e + e) + 1) + ((- e - 1) | (- e - 1))) + ((e & e) * (e | e) + (e & ~ e) * (~ e & e))) + 1) + ((- (((e + e) + 1) + ((- e - 1) | (- e - 1))) - 1) | (- ((e & e) * (e | e) + (e & ~ e) * (~ e & e)) - 1))) | ~ (~ e + 1)))) - 2) + 1))	-
((((((((((~ d | a) - ~ d) & ~ d) + (((~ d | a) - ~ d) & ~ d)) - (((~ d | a) - ~ d) ^ d)) + (((e | d) + (e | d)) - (e ^ d))) + 1) + ((- (((((~ d | a) - ~ d) & ~ d) + (((~ d | a) - ~ d) & ~ d)) - (((~ d | a) - ~ d) ^ d)) - 1) | (- (((e | d) + (e | d)) - (e ^ d)) - 1))) + ((e & d) * (e | d) + (e & ~ d) * (~ e & d))) + 1) + ((- ((((((((~ d | a) - ~ d) & ~ d) + (((~ d | a) - ~ d) & ~ d)) - (((~ d | a) - ~ d) ^ d)) + (((e | d) + (e | d)) - (e ^ d))) + 1) + ((- (((((~ d | a) - ~ d) & ~ d) + (((~ d | a) - ~ d) & ~ d)) - (((~ d | a) - ~ d) ^ d)) - 1) | (- (((e | d) + (e | d)) - (e ^ d)) - 1))) - 1) | (- ((e & d) * (e | d) + (e & ~ d) * (~ e & d)) - 1))	-
