#linear,groundtruth
-1*1111+1*~(x|1111)+1*(x&1111),1*~1111-1*(x^1111)
-2*(~(x&1111)&(1111^2222))+11*~(x&~x)-2*(1111&(x|~2222))-1*(x^(~1111|2222))-7*~2222+3*((x&~1111)|~(1111^2222))+7*~(~x&(~1111|2222))+3*2222-1*(~2222&~(x^1111))-3*(x^1111)+2*(x^2222)+1*(x^(1111|2222))+1*(~x&(~1111|2222))+4*(1111^2222)+3*~(1111&~2222)-7*~(1111&2222)+2*(~(x|1111)|~(x^(1111^2222)))+2*((x&1111)|(1111^2222))+3*(~(x|~1111)|~(1111^2222))-6*(~x&(1111|2222))+11*~(1111|2222)+5*((1111&~2222)^(x|(1111^2222)))-6*(2222^(~x&(~1111|2222)))-5*(1111|~2222)+4*(2222^(x|1111))-1*(2222&~(x^1111))+5*((x|1111)&(x^(1111^2222)))-1*(~(x&1111)&(x^(1111^2222)))-3*((x&1111)|~(x^(1111^2222)))-7*~(x&(1111&2222))+3*(2222|~(x^1111))+1*(1111&~(x&~2222))+5*(1111|(x&2222))+4*((x&~1111)|~(x^(1111^2222)))+5*(1111^(x&(1111^2222)))-3*~(x&~2222)+4*(1111^(x&(~1111|2222)))+1*(2222^~(~x|(1111&2222)))-1*(~2222|~(x^1111))-1*((1111&~2222)|~(x|(~1111&2222)))-2*~(~x|(~1111&2222))+7*(2222^(x&(~1111|2222)))+1*((x|1111)&~(1111^2222))-7*~(x|(~1111|2222))-39*~(~x|(1111|2222))-13*~(~x|(~1111|2222))-20*(~x&(~1111&2222))-32*(~x&(1111&2222))-30*(x&(~1111&2222))-35*(x&(1111&2222)),-1*(~(x&~1111)&~(x^(1111^2222)))
1*~(x^(~1111&2222))-1*(1111^(~x|(1111&2222)))-1*(x^1111)-2*(x^2222)+1*(2222^~(x|~1111))+1*((x&2222)^(x^(1111&2222)))-5*~(x^1111)+5*(1111^~(x&~2222))-3*(1111^~(x&(~1111&2222)))-3*((x&1111)|~(1111|2222))+7*(~(x|~1111)|(x^(1111^2222)))-1*(x^(1111^2222))-5*((x&2222)^~(x^(1111&2222)))-7*(1111^2222)-1*(1111^(x|(~1111&2222)))+5*(x|(~1111&2222))-7*(x&2222)+1*(2222^~(x&(1111|2222)))+7*(1111^~(x|(1111^2222)))+1*(2222^~(x&(~1111|2222)))-3*(~(x|1111)|~(1111^2222))+11*(x^(1111&2222))+1*(2222|~(x^1111))-2*(x^(1111|2222))-1*(~1111&(x^2222))+1*~(x|~2222)+2*((x&1111)^~(x^(1111&2222)))-5*(x|(1111^2222))-1*((x|1111)&(1111^2222))-2*(2222^(x|(1111&2222)))-6*((1111&2222)|(~x&(1111|2222)))+7*(2222^(x&(1111|2222)))+5*((1111&~2222)|~(~x|(~1111&2222)))-2*(2222^~(x|1111))-1*(1111^~(x&(1111^2222)))+1*~(x^(1111|2222))-2*(~(x^1111)|(x^2222))+1*(1111^~(x|(1111&2222)))-1*(2222|(x^1111))-3*(1111|~(x|~2222))+11*(1111^~(~x&(1111^2222)))+4*~(~x|(~1111&2222))-6*~(x|(1111|2222))-3*~(x|(~1111|2222))-16*~(~x|(1111|2222))-19*~(~x|(~1111|2222))+22*(~x&(~1111&2222))-6*(~x&(1111&2222))-8*(x&(~1111&2222))+3*(x&(1111&2222)),1*(2222^(x&(~1111|2222)))
-6*~(~x&(~1111|2222))-3*(1111^(~x|(~1111&2222)))+1*((x&1111)^~(x^(~1111|2222)))+11*(1111^~(~x|(1111^2222)))+1*~(~x|(1111&2222))-3*(1111|2222)+1*((x&1111)^~(x^(1111&2222)))-2*(1111&~(x^2222))-1*(~(x|1111)|~(1111^2222))-7*(1111^~(x&(1111&2222)))+3*(1111^~(~x&(~1111&2222)))-5*(1111^(x&(~1111|2222)))-2*2222-1*((x&2222)^~(x^(~1111&2222)))-5*((x|~1111)&~(x^(1111^2222)))+2*(x^(1111^2222))+4*(1111^(~x&(~1111|2222)))-1*((1111&2222)|(x&(1111|2222)))+1*1111+7*(~(x^1111)|(x^2222))+1*(1111|(x^2222))+1*(~1111|~(x^2222))-1*~(~x&(1111&2222))+2*((x&1111)^(x^(1111&2222)))+1*(1111^~(x|(~1111&2222)))+3*((x&~1111)|~(x^(1111^2222)))+5*(x|~1111)-1*(~(x&~1111)&~(x^(1111^2222)))+7*(1111^(x|2222))+1*(~(x|1111)|(x^(1111^2222)))-1*(1111|~(x|~2222))-2*(2222^~(x|~1111))-2*(~(x^1111)&(x^2222))+1*((x&2222)^~(x^(1111&2222)))-2*((x&1111)^(x^(~1111|2222)))+2*(1111^(~x|(1111&2222)))+1*(2222^(x|(1111&2222)))-11*(~(x&1111)&(1111^2222))+1*~(x&2222)+2*(2222^(~x|(~1111|2222)))+4*(x&~2222)-11*(1111^~(~x&(~1111|2222)))+1*(~x&(~1111|2222))+1*(~1111&~(x^2222))-14*~(x|(1111|2222))-3*~(x|(~1111|2222))-23*~(~x|(1111|2222))-17*~(~x|(~1111|2222))+1*(~x&(1111&2222))+32*(x&(~1111&2222))+7*(x&(1111&2222)),-1*~2222
7*(x|(1111|2222))+4*(2222^~(~x&(1111&2222)))-6*(1111^(x|(~1111&2222)))+7*(2222^~(x&1111))-1*(2222^(x|1111))+3*(x|(1111&2222))-1*x+1*(x|~2222)-11*((1111&~2222)|~(x|(~1111&2222)))+5*(2222^~(x|(~1111&2222)))+2*((x&~1111)|(1111^2222))-5*(~(x&1111)&~(x^(1111^2222)))+2*(2222|(x^1111))-3*(~(x^1111)|~(x^2222))-1*((x|~1111)&(x^(1111^2222)))+1*~(x^1111)-1*~(x^(1111^2222))+1*((x&2222)^(x^(~1111&2222)))+5*(1111^~(x&2222))+7*~(x^(1111&2222))-1*(2222|~(x|~1111))-11*(1111^~(x&(1111|2222)))-1*((x&1111)|~(1111|2222))+1*~(x&~2222)+1*((x&2222)^~(x^(1111&2222)))+1*(x^1111)+4*~(~x&(1111|2222))+1*(1111&(x|2222))-2*((x&1111)|(1111^2222))+5*(~x&(1111^2222))-1*(1111^~(~x&(1111&2222)))-3*~(x|1111)-5*((x&1111)^~(x^(1111&2222)))-11*(2222^~(x|~1111))-7*~(x^(~1111&2222))+4*((x^1111)&~(x^2222))-11*~(x&(1111|2222))+1*(2222|~(x|1111))-1*((1111&2222)|(~x&(1111|2222)))-1*(1111^~(x|(1111&2222)))-1*((x&2222)^(x^(1111&2222)))+7*(~(x&1111)&(x^(1111^2222)))+3*(1111^(x&~2222))+23*~(x|(1111|2222))+9*~(x|(~1111|2222))-6*~(~x|(1111|2222))+14*~(~x|(~1111|2222))+20*(~x&(~1111&2222))+30*(~x&(1111&2222))+5*(x&(~1111&2222))-7*(x&(1111&2222)),7*(~(x|~1111)|(x^(1111^2222)))
11*~(x&(1111&2222))+2*(2222|~(x|1111))-1*(1111^(x|2222))+1*((x&1111)^(1111|~2222))-7*((x|~1111)&(x^(1111^2222)))+4*(x^(~1111|2222))+7*(2222^~(x&(~1111|2222)))-6*(2222^(x|(~1111&2222)))+1*(1111^(~x&(~1111|2222)))-5*(~(x&~1111)&(x^(1111^2222)))-11*(2222^(x|1111))-3*(1111^~(x&(1111&2222)))+5*(2222^(x|~1111))-6*(x&~2222)-5*((x&2222)^~(x^(~1111&2222)))-11*(2222&~(x&1111))-2*(1111|(x&~2222))-1*~(1111|~2222)+3*~(x&~1111)+2*(~(x&~1111)&(1111^2222))-7*(~2222|(x^1111))-1*(x|(1111^2222))-1*(2222^(~x|(1111|2222)))-2*(2222^(x&(~1111|2222)))-11*(2222|~(x^1111))-5*~(x|~2222)+4*~(~x&(1111&2222))-1*x-1*~(~x&(1111|2222))-2*(x^1111)-1*(x&~1111)-1*(x|(1111|2222))+1*(1111|~2222)-5*~(x|1111)-3*((x^1111)|~(x^2222))+1*((x&2222)^(x^(~1111&2222)))+1*~(x^1111)+1*(2222^(x|(1111|2222)))-1*(~(x&1111)&~(1111^2222))-6*~x+7*(1111^(~x|(1111^2222)))+3*(2222^(~x|(1111&2222)))-1*(2222^(~x&(~1111|2222)))+7*~(x|(1111&2222))-6*~(x|(1111|2222))+11*~(x|(~1111|2222))+39*~(~x|(1111|2222))+7*~(~x|(~1111|2222))+34*(~x&(~1111&2222))+42*(~x&(1111&2222))+17*(x&(~1111&2222)),-15*(x&(1111&2222))+7*~(x&1111)
-1*(1111|2222)+5*(1111^(~x|(~1111&2222)))-5*(2222|(x&~1111))+1*(x&1111)-2*(1111^~(x&(1111|2222)))+11*(~(x|1111)|(x^(1111^2222)))-11*(1111^(x&(~1111|2222)))+1*~(x&(1111&2222))-1*(1111^~(x|~2222))+1*(1111&2222)+4*~(~x|(1111&2222))-2*((x&2222)^(x^(1111&2222)))+1*x-2*((x&2222)^(1111|2222))-7*(x|~2222)-3*(1111^~(~x&(1111|2222)))+1*(2222^~(x|~1111))+11*(~1111&~(x^2222))-11*(~(x&1111)&(x^(1111^2222)))-5*(~1111|~(x^2222))+1*(1111&~(x&2222))-5*1111-6*((1111&~2222)|~(~x|(~1111&2222)))-2*(1111^~(x&(1111^2222)))+5*~x+4*(1111^(x|2222))-2*~(x|1111)+11*((x&1111)^(1111|2222))-1*((x&1111)|(x^(1111^2222)))-11*((x&1111)^(x^(1111&2222)))+1*~(x|(1111^2222))-2*(~(x&1111)&~(1111^2222))+2*((x^1111)|~(x^2222))-11*((x^1111)&(x^2222))+7*((x|~1111)&~(x^(1111^2222)))-1*~(x|2222)-3*(1111|~2222)+2*(1111^(x&2222))-1*(2222^(x|(1111|2222)))+5*(x^(~1111|2222))+7*(2222^~(~x&(1111|2222)))-5*~(x&2222)+1*~(x&(~1111&2222))-24*~(x|(1111|2222))+24*~(x|(~1111|2222))+50*~(~x|(1111|2222))+14*~(~x|(~1111|2222))-21*(~x&(~1111&2222))+24*(~x&(1111&2222))-6*(x&(~1111&2222))+26*(x&(1111&2222)),-7*(~1111&(x^2222))
7*(1111^~(~x|(1111^2222)))+1*(~x|(1111^2222))-1*(2222^~(x&(~1111|2222)))-7*((x^1111)|(x^2222))-11*(1111^(x&(1111^2222)))+11*(~(x^1111)&~(x^2222))-1*(~(x&~1111)&~(1111^2222))+3*(~1111|(x^2222))-7*(1111&(x|~2222))-1*~1111-1*~(x&(1111|2222))-2*(1111^~(x&(1111|2222)))+5*(x&1111)+1*(1111&2222)-1*(1111^~(x|(1111^2222)))+1*((x&1111)|~(1111|2222))+1*(1111^(~x&(1111^2222)))-1*(1111^(x|2222))+2*(~2222&~(x^1111))+11*(2222^(~x|(~1111&2222)))+5*~(x&(1111&2222))-5*~(~x&(~1111|2222))-1*(x^1111)-3*(x^(1111^2222))-1*((1111&2222)|(x&(1111|2222)))+4*(1111^(x|(~1111&2222)))-7*(2222^~(~x|(~1111&2222)))-2*~(~x&(1111^2222))+1*~(x^(1111&2222))-6*(~(x&1111)&~(1111^2222))+2*((x&1111)|~(1111^2222))+1*(~1111&(x^2222))-11*(~x|(~1111&2222))+11*(~1111&~(x^2222))+5*~(x&(~1111&2222))-6*(1111^(x|(1111|2222)))+11*(2222^~(x|~1111))+1*((x|1111)&~(1111^2222))+7*((1111&~2222)|~(~x|(~1111&2222)))+5*(1111&~(x&~2222))-6*(x|(1111&2222))-11*(1111|~(x|~2222))+3*(1111^(~x|(~1111|2222)))-34*~(x|(1111|2222))-1*~(x|(~1111|2222))+9*~(~x|(1111|2222))+9*~(~x|(~1111|2222))+15*(~x&(~1111&2222))+26*(~x&(1111&2222))+23*(x&(~1111&2222))-16*(x&(1111&2222)),-5*((x&2222)^~(x^(~1111&2222)))+1*(~(x|~1111)|~(x^(1111^2222)))
5*~(~x&(1111&2222))+7*~(x^(~1111&2222))+1*(x|(1111&2222))+2*(~(x&~1111)&(1111^2222))+2*((x&1111)^(1111|~2222))+11*(1111|2222)+7*(1111^~(~x&(1111^2222)))-11*(1111&~(x&~2222))-2*((x&1111)|~(1111|~2222))-6*((x&2222)|~(1111|2222))-5*(1111^(x|(1111^2222)))+2*~(x^2222)+7*(2222^~(~x|(1111&2222)))+2*(x|(1111|2222))+4*x-2*(2222^(~x&(1111|2222)))+2*(1111^(~x|(~1111|2222)))-11*(x|1111)+3*~(1111^2222)+4*((x&1111)^~(x^(~1111|2222)))-6*(2222^(~x|(1111|2222)))+4*(2222^~(x&1111))+7*(x^(1111^2222))-5*(1111^(x|~2222))-3*(~(x^1111)&~(x^2222))-3*(1111^~(~x&(~1111&2222)))-1*(~(x|1111)|~(x^(1111^2222)))-3*(2222^(x&~1111))-1*(1111^~(~x&(~1111|2222)))+1*~(x&~1111)-6*(1111^(~x&(1111|2222)))+1*((x|~1111)&(x^(1111^2222)))+1*~(~x&(~1111|2222))-2*(~(x|1111)|(1111^2222))-2*(~(x|~1111)|~(1111^2222))+1*~(x|(1111^2222))-1*(x&1111)-5*(~1111&(x^2222))-1*((x^1111)&~(x^2222))+5*~(x&~x)+7*(1111^~(x&(1111|2222)))-2*~(1111|~2222)+1*(~(x|~1111)|~(x^(1111^2222)))-19*~(x|(1111|2222))-30*~(x|(~1111|2222))-25*~(~x|(1111|2222))-24*~(~x|(~1111|2222))-24*(~x&(~1111&2222))-2*(~x&(1111&2222))-15*(x&(~1111&2222))-18*(x&(1111&2222)),-4*~(x^(~1111|2222))
-11*(x^(1111|2222))+7*((x|~1111)&~(1111^2222))+2*2222-2*(2222^(x|(~1111|2222)))+7*(2222|(x^1111))-1*~(1111|~2222)+11*(2222&(x^1111))+4*((x&2222)^(x^(~1111&2222)))-1*(~x|(1111^2222))+3*(~(x&~1111)&~(1111^2222))+7*((x|1111)&(1111^2222))+2*(1111^(~x|(~1111|2222)))-1*~(x|(1111&2222))-7*(~(x|~1111)|(1111^2222))-1*((x|~1111)&~(x^(1111^2222)))+1*(1111^~(x&2222))+1*((x^1111)&~(x^2222))-2*(1111^(x|(1111&2222)))+1*~(x^(1111|2222))-6*(~(x^1111)&(x^2222))-1*~(~x|(~1111&2222))+11*((x&~1111)|(1111^2222))-7*((x&~1111)|(x^(1111^2222)))+1*(2222^(~x|(~1111&2222)))-1*(~(x^1111)|(x^2222))+11*(2222^(x&~1111))+2*((x&1111)|~(1111|2222))+5*((x^1111)&(x^2222))-1*(~(x&~1111)&~(x^(1111^2222)))-11*(1111^~(~x&(1111^2222)))+1*(x|(1111&2222))+3*(2222^~(x&(1111&2222)))-3*(2222^~(x&(1111|2222)))+3*(x&~1111)-11*(2222^~(x&~1111))+2*(1111|~(x|2222))-6*((x&~1111)|~(x^(1111^2222)))+2*~(x|~2222)+1*((x&1111)|~(1111|~2222))-6*(1111|(x&~2222))-6*((x&1111)|(1111^2222))+7*~(x&(1111&2222))+4*(1111^(~x|(1111|2222)))-1*(~1111&~(x^2222))+6*~(x|(1111|2222))+27*~(x|(~1111|2222))-25*~(~x|(1111|2222))-3*~(~x|(~1111|2222))-22*(~x&(~1111&2222))-29*(~x&(1111&2222))-5*(x&(~1111&2222))-29*(x&(1111&2222)),-11*(2222^~(~x|(1111&2222)))
-6*(1111&2222)+2*((x&1111)^(1111|~2222))-1*(2222&~(x^1111))-2*(2222^(x|1111))+1*((x^1111)|(x^2222))-6*(~(x|~1111)|(1111^2222))-3*(1111^2222)+1*(~2222&(x^1111))-5*~(~x|(~1111&2222))+7*(~(x&1111)&~(1111^2222))+1*(1111^(~x|(1111&2222)))-1*~(~x&(1111|2222))-7*(2222^(~x&(~1111|2222)))+2*(2222^~(x|1111))-2*((x&~1111)|(1111^2222))+11*(~x|(1111^2222))-1*~(1111&~2222)+1*(2222^(x|(1111&2222)))+4*((x&~1111)|~(1111^2222))+11*(2222^(x|(~1111|2222)))+11*(x^(1111&2222))-11*~(1111|~2222)+11*(x|1111)-11*(2222^~(~x&(~1111|2222)))-2*x-1*~(x|~1111)-1*~(x&~2222)-1*(2222|(x&1111))-1*(1111^~(x&2222))-2*(1111&~(x&~2222))-1*~x+3*((x&1111)|~(1111|2222))+3*((1111&~2222)|~(x|(~1111&2222)))-7*(~(x|~1111)|~(x^(1111^2222)))-1*(~(x|1111)|~(1111^2222))-2*(1111^~(~x|(1111&2222)))+4*((x|1111)&(1111^2222))+3*(~(x|~1111)|~(1111^2222))-3*(~(x^1111)|~(x^2222))-1*(~(x|1111)|(1111^2222))-7*~(x^2222)+7*(~2222&~(x^1111))-1*~(x&(1111&2222))-1*(x&~2222)-27*~(x|(1111|2222))+14*~(x|(~1111|2222))-25*~(~x|(1111|2222))-23*~(~x|(~1111|2222))+28*(~x&(~1111&2222))-19*(~x&(1111&2222))+12*(x&(~1111&2222))+13*(x&(1111&2222)),-5*(1111^~(x|(1111&2222)))
11*~(x&(1111|2222))-7*~(x&(~1111|2222))-11*(1111^~(~x|(1111^2222)))+5*(x|~2222)-1*((x&1111)|~(1111^2222))-5*~1111+7*(1111|~2222)+1*(2222^(x|~1111))+2*((x&1111)^(1111|~2222))-6*(x&(1111|2222))+1*(~2222&(x^1111))-3*~(~x|(~1111&2222))+5*(x^(1111|2222))+7*(1111^(x|~2222))-11*(1111^~(~x&(~1111&2222)))-1*(2222|~(x|~1111))-1*((x|~1111)&~(1111^2222))+3*(2222^(x&~1111))+4*((x&2222)^~(x^(~1111&2222)))+7*(2222^(~x|(~1111|2222)))+4*((x&2222)|~(1111|2222))-2*((x|1111)&~(1111^2222))+2*(x^2222)-2*~(x&1111)+11*((x^1111)|~(x^2222))+4*(2222^(~x&(1111|2222)))-1*(1111^~(x|2222))+2*(1111^~(x|(1111^2222)))-3*(1111|(x&~2222))-5*(2222^~(~x&(1111|2222)))-7*(1111^(~x|(1111|2222)))+2*((x&1111)|(1111^2222))-3*(2222^~(x&(1111&2222)))-7*~(1111|~2222)+1*(1111^~(x&(1111^2222)))+11*(2222&(x|1111))+1*((x^1111)|(x^2222))-1*(~(x^1111)&(x^2222))+1*(1111^(~x&(1111|2222)))-5*((x&~1111)|~(1111^2222))+2*(~(x|~1111)|~(1111^2222))+1*(2222^~(x|(1111&2222)))+2*((x&1111)^~(x^(1111&2222)))+3*(2222^(x&(~1111|2222)))-26*~(x|(1111|2222))-47*~(x|(~1111|2222))-15*~(~x|(1111|2222))+16*~(~x|(~1111|2222))+4*(~x&(~1111&2222))-27*(~x&(1111&2222))-9*(x&(~1111&2222))-38*(x&(1111&2222)),-7*(2222^~(x&(~1111|2222)))+6*(2222^(x|(~1111&2222)))
-11*(~(x|1111)|(x^(1111^2222)))-1*(1111^~(x&(1111|2222)))-2*(x|(~1111&2222))+1*(2222^(x&(1111|2222)))+2*(2222^(~x|(1111|2222)))+2*~(1111&2222)-6*((x&2222)^(1111|2222))-1*(1111&(x^2222))+1*((x|1111)&~(x^(1111^2222)))-5*~(~x|(1111^2222))-6*(~(x&1111)&~(x^(1111^2222)))-1*(1111^(~x&(1111|2222)))+1*(x|(1111&2222))-3*(2222^~(x&(~1111&2222)))-11*~(~x&(1111|2222))-6*(1111|~(x|~2222))+3*(2222^~(~x|(~1111&2222)))+7*(~(x^1111)|~(x^2222))-11*(1111^~(x|(~1111&2222)))-1*(x^(1111&2222))-7*~(x|~1111)-1*~(1111|2222)-1*(2222^(x|(1111|2222)))+1*(1111^~(~x&(~1111&2222)))+5*(1111^(~x|(1111&2222)))-5*~(1111|~2222)+7*2222+1*~(x&(1111&2222))-2*(1111^~(x|~2222))+3*~(x^(1111&2222))-3*(1111|~2222)-1*(~(x|~1111)|~(1111^2222))-1*~(x&1111)+1*(1111&~(x^2222))-11*(x|(~1111|2222))-1*(1111^~(~x|(1111^2222)))-2*(2222|~(x^1111))+7*(1111&~(x&2222))+2*(x&(1111|2222))-1*x-2*(~(x|1111)|~(1111^2222))+11*(2222&~(x&1111))+4*(1111^~(x&(1111^2222)))+4*(2222^~(~x&(~1111|2222)))-2*~(x&~1111)+30*~(x|(1111|2222))+10*~(x|(~1111|2222))+22*~(~x|(1111|2222))+15*~(~x|(~1111|2222))+4*(~x&(~1111&2222))+7*(~x&(1111&2222))+40*(x&(1111&2222)),-11*((x&1111)|~(1111|2222))-7*(x^1111)
-2*((x|1111)&(1111^2222))-5*(x|~2222)-1*(1111^(x&2222))-2*(1111&2222)+1*~(1111|~2222)-1*(x&2222)+4*(2222^~(x|(1111&2222)))-11*((1111&2222)|(x&(1111|2222)))-5*(1111^(x&(~1111|2222)))+11*(2222^~(~x&(~1111&2222)))-11*(1111^~(x&(1111&2222)))-1*((1111&~2222)^(~x|(1111^2222)))-6*~(~x&(1111|2222))+2*~1111+3*(x^(~1111&2222))+5*(1111^2222)-1*((1111&~2222)|~(x|(~1111&2222)))+1*(x|(1111&2222))+1*(x|(~1111|2222))+5*(x^(1111^2222))+2*(1111^~(x|(~1111&2222)))-1*(1111^~(~x&(~1111&2222)))+2*~(1111&~2222)+1*(1111^~(x|(1111^2222)))+1*~(~x&(1111^2222))-5*(~(x|1111)|~(1111^2222))-1*(x^1111)+3*(1111|~(x|2222))-1*(x^(~1111|2222))+5*(2222^~(x&(~1111&2222)))+7*~(x&2222)-1*(2222^~(x|~1111))+11*(1111&(x|2222))-7*(x&(~1111|2222))+4*~x-2*(x&1111)+1*(1111^(~x|(1111&2222)))-3*(x^(1111|2222))-1*((x|~1111)&~(x^(1111^2222)))-1*((x^1111)&~(x^2222))+11*(~x&(1111^2222))+3*(1111^~(~x|(1111&2222)))-2*(x|1111)+7*((x&2222)|~(1111|2222))-16*~(x|(1111|2222))-37*~(x|(~1111|2222))+1*~(~x|(1111|2222))-12*~(~x|(~1111|2222))-31*(~x&(~1111&2222))-4*(~x&(1111&2222))+25*(x&(~1111&2222))+9*(x&(1111&2222)),3*(2222^(x|(~1111|2222)))
-3*((x|~1111)&~(1111^2222))+11*(x^(1111|2222))-1*~x-6*(1111^~(x&2222))-7*~(x|~1111)+4*(2222^~(x|(1111&2222)))-1*(~2222&~(x^1111))+5*(1111^~(x&~2222))-2*(~1111|~(x^2222))+7*(2222^~(x|(~1111&2222)))+2*((x&2222)|(1111&~2222))+11*(2222&(x|1111))+3*~(~x&(1111&2222))-1*~(x&2222)+2*(~(x|1111)|~(1111^2222))-1*~(x|~2222)+1*(1111&(x^2222))-5*~2222-7*((x&1111)|~(1111^2222))+1*(1111^(~x|(1111|2222)))-1*(2222^(~x|(1111&2222)))+2*(x^(~1111|2222))-2*(1111^~(~x&(1111|2222)))+5*(x&~2222)+11*(1111^(x&2222))-11*(2222^(x|(1111&2222)))+1*(~(x&1111)&~(1111^2222))-1*(x|(1111&2222))-11*~(1111|2222)-2*(1111^~(x&(1111|2222)))+1*(x^(~1111&2222))+7*~(~x|(1111^2222))+2*(1111^~(x&(~1111&2222)))+2*(1111&(x|2222))+3*~(x^(~1111|2222))-1*~(x^(1111&2222))-3*((1111&~2222)|~(~x|(~1111&2222)))-1*(1111^(x|(~1111|2222)))+3*(2222^~(~x&(1111|2222)))+3*(1111^~(x|(~1111&2222)))-6*(2222^~(x&~1111))+1*((x&1111)|(1111^2222))-1*(2222^~(~x&(~1111&2222)))+1*((x&2222)^~(1111&~2222))+16*~(x|(1111|2222))-11*~(x|(~1111|2222))+17*~(~x|(1111|2222))-2*~(~x|(~1111|2222))-12*(~x&(~1111&2222))-28*(~x&(1111&2222))-35*(x&(~1111&2222))-21*(x&(1111&2222)),-1*(1111^(~x&(~1111|2222)))+1*((1111&2222)|(~x&(1111|2222)))
4*(1111^(~x&(~1111|2222)))-3*(~x|(1111&2222))-3*(~(x&~1111)&(1111^2222))-5*(1111^~(x|2222))-11*~(x^2222)+3*(1111&(x^2222))-1*(~(x&1111)&(x^(1111^2222)))-1*(x|(1111|2222))-7*(1111&(x|~2222))-11*(2222^~(x|~1111))+3*1111+7*~(x^(~1111|2222))-1*~(~x|(~1111&2222))+1*(~x&(1111^2222))+1*(x|2222)-7*(1111|~2222)-6*(2222^~(~x&(~1111&2222)))+2*((1111&2222)|(~x&(1111|2222)))+2*(2222|~(x^1111))-6*(~x|(1111|2222))+2*~(x|(~1111&2222))+2*(2222&(x^1111))-1*(2222^(~x&(1111|2222)))-11*(1111^~(x&(~1111|2222)))-1*(2222^(x|(~1111&2222)))+2*(~2222&(x^1111))-1*((x^1111)&~(x^2222))+3*(x|(~1111|2222))-2*(2222^~(x|(~1111&2222)))-7*~(1111^2222)-1*((x^1111)|(x^2222))-1*(1111^(~x&(1111|2222)))-7*(x^(~1111|2222))+4*(~(x|~1111)|~(1111^2222))-2*(x^(1111&2222))+1*(x|(1111^2222))+11*(x^(~1111&2222))-1*~(1111|~2222)+1*(2222^(x&1111))+11*(1111^~(~x|(1111^2222)))+4*((x|~1111)&~(x^(1111^2222)))-5*(~(x|~1111)|~(x^(1111^2222)))+1*(x^(1111^2222))-1*(2222^(~x&(~1111|2222)))-1*~(x&~1111)+47*~(x|(1111|2222))+29*~(x|(~1111|2222))-20*~(~x|(1111|2222))+3*~(~x|(~1111|2222))+21*(~x&(~1111&2222))+6*(~x&(1111&2222))+23*(x&(~1111&2222))+30*(x&(1111&2222)),-7*(~(x^1111)|(x^2222))+1*(1111^(x|~2222))
-7*(2222^~(x|(1111&2222)))-3*(2222^~(x&(~1111|2222)))+4*~(~x|(~1111&2222))-1*~(x&~1111)-11*(2222^~(x&~1111))+4*(2222^~(x&(1111&2222)))-3*((x&1111)|~(1111^2222))-1*~(~x&(1111|2222))-5*((x&2222)^(x^(1111&2222)))+1*((x&~1111)|(1111^2222))+2*(1111^(~x&(~1111|2222)))+7*((x&~1111)|~(x^(1111^2222)))-11*((1111&2222)|(~x&(1111|2222)))+1*(1111^~(x|(~1111&2222)))+1*((1111&2222)^~(~x&(1111^2222)))-3*((x|~1111)&(1111^2222))+1*(~1111&~(x^2222))-7*((1111&2222)|(x&(1111|2222)))+7*(1111^~(x&(1111^2222)))+7*((x&1111)|(x^(1111^2222)))-1*(1111&(x|2222))-6*(1111|~(x|~2222))+1*(~(x&1111)&(1111^2222))+1*~(x^1111)-5*~(~x|(1111^2222))-2*~(x&(1111|2222))-1*((x^1111)|~(x^2222))-2*(~x&(1111^2222))-1*(x^(~1111&2222))+11*(x&~2222)+1*((x&1111)^(1111|2222))-5*(1111^(~x&(1111|2222)))+3*(~(x|~1111)|~(1111^2222))-3*(2222|(x&1111))+2*(x^1111)+2*(2222^(x|(~1111&2222)))+1*(~x&(~1111|2222))-11*(~(x|1111)|(x^(1111^2222)))+11*(2222^(x|~1111))+1*(~(x^1111)|~(x^2222))-6*(x&2222)-2*~(x&(~1111&2222))+7*((1111&~2222)^(x|(1111^2222)))+1*(~(x^1111)&(x^2222))+1*(2222&~(x^1111))+10*~(x|(1111|2222))+42*~(x|(~1111|2222))-28*~(~x|(1111|2222))-2*~(~x|(~1111|2222))+24*(~x&(~1111&2222))+22*(~x&(1111&2222))+28*(x&(~1111&2222))+55*(x&(1111&2222)),7*~(~x&(1111&2222))+1*~1111
